item_nr	datum	zeitstempel	thema	text	kw_type	kw_token	diskurs	fee	instantiation	frame	frame-url	annotation_sw
114	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		"Migration; Berufstätigkeit; Ausbildung"	"Qualifizierten Arbeitskräften aus Nicht-EU-Ländern; Stelle; Berufsabschlüsse"	Migration	Stelle anzunehmen		Job_bekommen	https://framenet-constructicon.hhu.de/framenet/frame?id=953	ps
115	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Geflüchtete; Berufstätigkeit"	"Geflüchtete; Job gefunden"	Migration	einen Job gefunden		Job_bekommen	https://framenet-constructicon.hhu.de/framenet/frame?id=953	ps
116	11-10-2022		Probleme bei Versorgung von Geflüchteten mit Sprachunterricht und Kitaplätzen		"Kita; Schule"	"Kita-; Schulplätzen"	Migration	mangelt		Knappheit	https://framenet-constructicon.hhu.de/framenet/frame?id=284	ps
117	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Schule	Grundschüler	Bildung	mangelnde		Knappheit	https://framenet-constructicon.hhu.de/framenet/frame?id=284	ps
118	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Arbeitsmarkt; Ausbildung"	"Arbeitsmarkt; Ausbildung"	Bildung	Fachkräftemangel		Knappheit	https://framenet-constructicon.hhu.de/framenet/frame?id=284	ps
119	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		Sprache	Sprache	Migration	daran hapert es		Knappheit	https://framenet-constructicon.hhu.de/framenet/frame?id=284	ps
120	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Arbeitsmarkt	Fachkräftemangel	Migration	Fachkräftemangel		Knappheit	https://framenet-constructicon.hhu.de/framenet/frame?id=284	ps
121	26-08-2024		Schulstart in drei Bundesländern		Schule	Schulstandorte	Bildung	Platzmangel		Knappheit	https://framenet-constructicon.hhu.de/framenet/frame?id=284	ps
122	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Deutsch	Sprachkenntnisse	Migration	Sprachkenntnisse		Kompetenz	https://framenet-constructicon.hhu.de/framenet/frame?id=163	ps
123	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Deutsch; Berufstätigkeit"	"sprechen und schreiben wie in der Muttersprache; Job"	Migration	"sprechen und schreiben wie in der Muttersprache; Schlüsselqualifikation"		Kompetenz	https://framenet-constructicon.hhu.de/framenet/frame?id=163	ps
124	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Deutsch	Deutsch	Migration	gut Deutsch spreche		Kompetenz	https://framenet-constructicon.hhu.de/framenet/frame?id=163	ps
125	26-08-2024		Schulstart in drei Bundesländern		"Geflüchtete; Deutsch"	"Flüchtlingskinder; Deutsch"	Bildung	können kein Deutsch		Kompetenz	https://framenet-constructicon.hhu.de/framenet/frame?id=163	ps
126	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Schule; Geflüchtete"	"Schulen; ukrainische"	Migration	wird viel Geld kosten		Kostspieligkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1176	ps
127	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		Arbeitsmarkt	Arbeitsmarkt	Bildung	kann man es sich nicht leisten		Kostspieligkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1176	ps
128	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Sprachkurs; Integration"	"Sprachkurse; Integrationshilfen"	Migration	Ausgaben [...] halbieren		Kostspieligkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1176	ps
129	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Integration	Integration	Migration	kostet Geld		Kostspieligkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1176	ps
130	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Schule	Grundschüler	Bildung	"lesen; vorzulesen"		Lesen_Aktivität	https://framenet-constructicon.hhu.de/framenet/frame?id=865	ps
131	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		"Schule; Migration"	"Schulen; internationaler"	Bildung	"liest; gelesen"		Lesen_Aktivität	https://framenet-constructicon.hhu.de/framenet/frame?id=865	ps
132	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		Geflüchtete	Flucht	Migration	bin Deutschland dankbar		Lobpreisung	https://framenet-constructicon.hhu.de/framenet/frame?id=1031	ps
133	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		Arbeitsmarkt	Arbeitsmarkt	Migration	auf dem deutschen Arbeitsmarkt		Lokatives_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=842	ps
134	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Schule	Lehrer	Bildung	Wirkung zeigen		Medizinische_Intervention	https://framenet-constructicon.hhu.de/framenet/frame?id=830	ps
135	19-02-2023		Flüchtlinge aus Ukraine entlasten deutschen Arbeitsmarkt		"Arbeitsmarkt; Geflüchtete"	"Arbeitsmarkt; Flüchtlinge"	Migration	lindern		Medizinische_Intervention	https://framenet-constructicon.hhu.de/framenet/frame?id=830	ps
136	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		Schule	Schüler	Bildung	Gemessen		Messen_Szenario	https://framenet-constructicon.hhu.de/framenet/frame?id=341	ps
137	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Schule	Schule	Bildung	Forscher warnen [...] künftig könnten		Negativ_konditional	https://framenet-constructicon.hhu.de/framenet/frame?id=889	ps
138	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		"Migration; Arbeitsmarkt"	"Inderinnen und Inder; Rennen um junge Talente"	Migration	Will Deutschland [...] nicht [...] muss		Negativ_konditional	https://framenet-constructicon.hhu.de/framenet/frame?id=889	ps
139	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		"Geflüchtete; Integration"	"geduldet; integriert"	Migration	Verbesserungen		Nutzen_oder_Schaden_verursachen	https://framenet-constructicon.hhu.de/framenet/frame?id=822	ps
140	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		Integration	Einbürgerung	Migration	"deutsche Staatsbürgerschaft; Deutscher"		Personen_nach_Gerichtsbarkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
141	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Migration	Migranten	Migration	Menschen aus Ländern wie Syrien oder Afghanistan		Personen_nach_Gerichtsbarkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
142	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Migration	Migranten	Migration	Menschen aus EU-Ländern wie Österreich		Personen_nach_Gerichtsbarkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1221	ps
143	08-04-2022		Geflüchtete aus der Ukraine sollen staatliche Grundsicherung erhalten		Geflüchtete	Menschen aus der Ukraine	Migration	Menschen aus der Ukraine		Personen_nach_Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=1214	ps
144	07-09-2022		Ministerrunde und Wirtschaftsverbände beraten Maßnahmen gegen Fachkräftemangel		Migration	aus Afghanistan gekommen	Migration	aus Afghanistan		Personen_nach_Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=1214	ps
145	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		Geflüchtete	geduldet	Migration	Ausländer		Personen_nach_Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=1214	ps
146	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Migration	aus der Ukraine	Bildung	aus der Ukraine		Personen_nach_Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=1214	ps
147	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Migration	internationaler	Bildung	nichtdeutschen Familien		Personen_nach_Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=1214	ps
148	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		Geflüchtete	Geflüchtete	Migration	aus der Ukraine		Personen_nach_Herkunft	https://framenet-constructicon.hhu.de/framenet/frame?id=1214	ps
149	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		Deutsch	Deutsch	Migration	Freund		Persönliche_Beziehung	https://framenet-constructicon.hhu.de/framenet/frame?id=10	ps
150	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		Schule	Abschluss	Bildung	situierten		Platzieren	https://framenet-constructicon.hhu.de/framenet/frame?id=1119	ps
151	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		"Schule; Migration"	"Abschluss; Migrationsanteil"	Bildung	situierten		Platzieren	https://framenet-constructicon.hhu.de/framenet/frame?id=1119	ps
152	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Schule	Schulen	Bildung	Startbedingen		Prozess_Start	https://framenet-constructicon.hhu.de/framenet/frame?id=148	ps
153	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		Kita	frühkindlichen Bereich	Bildung	Anfang		Prozess_Start	https://framenet-constructicon.hhu.de/framenet/frame?id=148	ps
154	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Schule	Kindern	Bildung	testen		Prüfung	https://framenet-constructicon.hhu.de/framenet/frame?id=31	ps
155	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		"Integration; Deutsch"	"Einbürgerung; Sprach-"	Migration	Sprach- und Einbürgerungstest		Prüfung	https://framenet-constructicon.hhu.de/framenet/frame?id=31	ps
156	11-10-2022		Probleme bei Versorgung von Geflüchteten mit Sprachunterricht und Kitaplätzen		Geflüchtete	Flüchtlingen	Migration	Flüchtlingen		Flüchten	https://framenet-constructicon.hhu.de/framenet/frame?id=324	ps
157	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Schule; Geflüchtete"	"Schulen; ukrainische"	Migration	Handlungsbedarf		Reaktion	https://framenet-constructicon.hhu.de/framenet/frame?id=138	ps
158	08-04-2022		Geflüchtete aus der Ukraine sollen staatliche Grundsicherung erhalten		Geflüchtete	Flüchtlinge	Migration	soll vereinfacht werden		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
159	17-10-2022		IQB-Bildungstrend: Viertklässler verschlechtern sich in Deutsch und Mathematik		Schule	Schule	Bildung	größere Probleme haben		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
160	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		"Integration; Deutsch"	"Voraussetzungen für ein Bleiberecht nachzuholen; Sprachkenntnisse"	Migration	erleichtern		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
161	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		"Schule; Geflüchtete"	"Schule; Flüchtlinge"	Migration	können [...] nicht mehr händeln		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
162	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		Migration	Rennen um junge Talente	Migration	leichter werden		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
163	16-05-2023		Laut IGLU-Studie hat jeder vierte Viertklässler Schwäche beim Lesen		Schule	Schulen	Bildung	schwer		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
164	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		"Berufstätigkeit; Migration; Arbeitsmarkt"	"Stelle anzunehmen; Arbeitskräften aus Nicht-EU-Ländern; Arbeitsmarkt"	Migration	erleichtert		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
165	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		Deutsch	Deutsch	Migration	schwer		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
166	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Schule; Migration"	"Schulabschluss; kommen aus verschiedensten Ländern"	Migration	schwer		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
167	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Migration; Arbeitsmarkt; Sprache"	"aus Ländern wie Syrien oder Afghanistan kommen; Arbeitsmarkt; Spracherwerb"	Migration	schwer		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
168	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		"Migration; Deutsch"	"eingewanderten; Deutsch"	Bildung	schwerer falle		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
169	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		Geflüchtete	Geflüchtete	Migration	Schwierigkeiten		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
170	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Ausbildung; Integration"	"beruflichen Abschlüssen und Qualifikationen; Integration"	Migration	vereinfacht werden		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
171	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		Integration	Integration	Migration	mühsam		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
172	26-08-2024		Schulstart in drei Bundesländern		"Schule; Geflüchtete; Deutsch"	"Schulleiterin; Flüchtlingskinder; Deutsch"	Bildung	Herausforderungen		Schwierigkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1007	ps
173	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Migration; Arbeitsmarkt; Integration"	"Zugewanderte; für die Zuwanderung ausländischer Fachkräfte werben; Integrationshilfen"	Migration	sparen		Sparsamkeit	https://framenet-constructicon.hhu.de/framenet/frame?id=1178	ps
174	09-12-2022		Kultusministerkonferenz empfiehlt intensivere Lernzeiten für Grundschulkinder		Schule	Grundschüler	Bildung	alarmierenden		Stimulus_Fokussierung	https://framenet-constructicon.hhu.de/framenet/frame?id=997	ps
175	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		Sprachkurs	Sprachkursen	Migration	Sprachkurse		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
176	08-04-2022		Geflüchtete aus der Ukraine sollen staatliche Grundsicherung erhalten		Sprachkurs	Sprachkurse	Migration	Sprachkurse		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
177	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		Sprachkurs	Sprachkurse	Migration	Sprachkurse		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
178	07-09-2022		Ministerrunde und Wirtschaftsverbände beraten Maßnahmen gegen Fachkräftemangel		Ausbildung	Lehre	Migration	seine Lehre gemacht		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
179	11-10-2022		Probleme bei Versorgung von Geflüchteten mit Sprachunterricht und Kitaplätzen		Sprachkurs	Sprachunterricht	Migration	Sprachunterricht		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
180	11-10-2022		Probleme bei Versorgung von Geflüchteten mit Sprachunterricht und Kitaplätzen		Sprachkurs	Deutschkurs	Migration	Deutschkurs		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
181	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		Deutsch	die Sprache	Migration	lernen		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
182	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		Migration	junge Inderinnen und Inder	Migration	junge		Personen_nach_Alter	https://framenet-constructicon.hhu.de/framenet/frame?id=1213	ps
183	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		"Ausbildung; Berufstätigkeit"	"Ausbildung; Erwerbsleben"	Migration	Ausbildung		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
184	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		"Deutsch; Ausbildung"	"Deutsch; Fortbildungen"	Migration	gelernt		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
185	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Schule	Schulabschluss	Migration	Schulabschluss		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
186	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		Ausbildung	mache ich Erzieherin oder beim Zahnarzt Helferin	Migration	mache ich		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
187	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Schule; Sprachkurs; Integration; Deutsch"	"Hauptschulabschluss; Spracherwerb; Integration; Deutsch"	Migration	Spracherwerb		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
188	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Ausbildung; Schule"	"Ausbildung; Schulsystem"	Bildung	Ausbildung oder Abitur		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
189	06-11-2023		Ehrenamtliche Flüchtlingshelfer stehen vor Schwierigkeiten vor Ort		"Geflüchtete; Berufstätigkeit; Sprachkurs"	"Geflüchtete; arbeiten; Sprachkurs"	Migration	Sprachkurs		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
190	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		Schule	Schüler*innen	Bildung	Unterricht		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
191	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Geflüchtete; Sprachkurs"	"Geflüchtete; Sprachkurse"	Migration	Lernen		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
192	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Deutsch; Sprache; Sprachkurs; Integration"	"Deutsch; Englisch; Integrationskurs; Integrationskurs"	Migration	lernen		Bildung_Lehre	https://framenet-constructicon.hhu.de/framenet/frame?id=48	ps
193	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		"Schule; Sprache; Migration"	"Schüler; fehlende Sprachkenntnisse; zugewanderter Schüler"	Bildung	vielschichtig		Systemkomplexität	https://framenet-constructicon.hhu.de/framenet/frame?id=667	ps
194	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		Geflüchtete	geduldet	Migration	Ausländer [...] die nur geduldet sind		Temporärer_Aufenthalt	https://framenet-constructicon.hhu.de/framenet/frame?id=422	ps
195	30-03-2022		Bundesarbeitsminister Heil fordert für ukrainische Flüchtlinge schnellen Zugang zum Arbeitsmarkt		"Integration; Arbeitsmarkt"	"Integration; Arbeitsmarkt"	Migration	Fuß fassen		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
196	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Integration; Geflüchtete; Kita; Schule"	"integriert; Flüchtlinge; Kinderbetreuung; Schulbildung"	Migration	integriert		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
197	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		"Integration; Arbeitsmarkt; Geflüchtete"	"Integration; Arbeitsmarkt; Geflüchtete"	Migration	"Integration; integriert"		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
198	02-12-2022		'Chancen-Aufenthaltsgesetz': Bundestag beschließt rechtliche Verbesserungen für Geduldete		"Integration; Deutsch; Berufstätigkeit"	"integriert; Sprachkenntnisse; Beruf"	Migration	integriert		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
199	16-02-2023		Integration als Belastungsprobe für kleine Gemeinden		Integration	Integration	Migration	Integration		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
200	19-02-2023		Flüchtlinge aus Ukraine entlasten deutschen Arbeitsmarkt		"Integration; Sprachkurs"	"Eingliederung; Sprachkursen"	Migration	Eingliederung		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
201	29-02-2024		Zahl der Arbeitslosen im Februar und Integrationsprobleme ukrainischer Geflüchteter in den Arbeitsmarkt		"Sprachkurs; Integration; Ausbildung"	"Sprachkurs; Integration; beruflichen Abschlüssen und Qualifikationen"	Migration	Integration		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
202	27-06-2024		Neue Einbürgerungsregeln treten in Kraft		"Integration; Geflüchtete; Deutsch"	"richtig angekommen; Flucht; mit der Sprache"	Migration	nach der Flucht richtig angekommen		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
203	04-07-2024		OECD-Bericht gibt Deutschland gute Noten für Integration		"Integration; Schule; Deutsch"	"Integration; keinen Hauptschulabschluss; Deutsch"	Migration	"Eingliederung; Integration"		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
204	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Integration; Sprachkurs; Berufstätigkeit; Deutsch"	"integrieren; Integrationskurs; arbeiten; Deutsch"	Migration	integrieren		Umfassen	https://framenet-constructicon.hhu.de/framenet/frame?id=70	ps
205	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		Schule	Schulbank	Migration	ins Nichts fällt		Unsicherheit	https://framenet-constructicon.hhu.de/framenet/frame?id=807	ps
206	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Kita; Schule; Geflüchtete"	"Kinderbetreuung; Schulbildung; Flüchtlinge"	Migration	Perspektiven geschaffen werden		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
207	14-06-2022		Bundesinnenministerin Faeser und Arbeitsminister Heil besuchen Einrichtung für Flüchtlinge		"Geflüchtete; Sprachkurs"	"Geflüchteten; Sprachkurse"	Migration	kümmern		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
208	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Schule; Migration"	"Schulsystem; Migration"	Bildung	Förderangebote		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
209	13-10-2023		Nachlassende Leistungen im Schulfach 'Deutsch' laut Studie im Auftrag der Kultusministerkonferenz		"Sprache; Kita"	"Sprachförderung und -kompetenz; frühkindlichen Bereich"	Bildung	Sprachförderung		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
210	05-12-2023		Deutsche Schüler schneiden bei internationaler Pisa-Studie so schlecht ab wie nie zuvor		"Schule; Migration"	"Schüler; zugewandert"	Bildung	Förderung		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
211	24-10-2024		Kreisen und Gemeinden fehlt es an Raum und Mitteln für angemessene Flüchtlingsunterkünfte und Integration		"Sprachkurs; Integration"	"Deutschkurse; Integrationsmöglichkeiten"	Migration	kümmern		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
212	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		Schule	Lehrkräfte und Schulräume	Migration	Unterstützung		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
213	04-05-2023		Deutschland will sozial benachteiligte Kinder stärker fördern		Schule	Schüler	Bildung	gefördert werden		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
214	23-06-2023		Bundestag beschließt Erleichterung bei Fachkräfte-Zuwanderung		Ausbildung	Ausbildungshilfen	Migration	Ausbildungshilfen		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
215	20-07-2024		Sozialverbände kritisieren die Regierung wegen ihrer Pläne Migrationsangebote zu kürzen		"Migration; Arbeitsmarkt; Integration"	"Zugewanderte; für die Zuwanderung ausländischer Fachkräfte werben; Integrationshilfen"	Migration	Unterstützung		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
216	26-08-2024		Schulstart in drei Bundesländern		"Schule; Migration"	"Schulen; Migration"	Bildung	gefördert werden		Unterstützen	https://framenet-constructicon.hhu.de/framenet/frame?id=483	ps
217	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		Geflüchtete	Flüchtlinge	Migration	verteilt		Verbreitung	https://framenet-constructicon.hhu.de/framenet/frame?id=778	ps
218	25-04-2022		Gesellschaftsvertreter beraten über Perspektiven von ukrainischen Flüchtlingen in Deutschland		"Schule; Kita"	"Schulen; Kindergärten"	Migration	Angebot an		Versorgung	https://framenet-constructicon.hhu.de/framenet/frame?id=156	ps
219	11-10-2022		Probleme bei Versorgung von Geflüchteten mit Sprachunterricht und Kitaplätzen		"Sprachkurs; Kita"	"Sprachunterricht; Kitaplätzen"	Migration	Versorgung		Versorgung	https://framenet-constructicon.hhu.de/framenet/frame?id=156	ps
220	19-02-2023		Flüchtlinge aus Ukraine entlasten deutschen Arbeitsmarkt		Sprachkurs	Sprachkursen	Migration	zur Verfügung stehen		Versorgung	https://framenet-constructicon.hhu.de/framenet/frame?id=156	ps
221	26-02-2023		Kanzler Scholz will Fachkräftemangel in Deutschland durch Zuwanderung aus Indien entschärfen		Migration	Rennen um junge Talente	Migration	an ein Visum zu kommen		Versorgung	https://framenet-constructicon.hhu.de/framenet/frame?id=156	ps
222	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Schule; Migration; Ausbildung"	"Schulsystem; Migration; Ausbildung"	Bildung	Ursache		Verursachen	https://framenet-constructicon.hhu.de/framenet/frame?id=1080	ps
223	12-09-2023		Wachsende Schere bei beruflicher Bildung laut OECD-Studie		"Arbeitsmarkt; Schule"	"Fachkräftemangel; Schulsystem"	Bildung	Ursache		Verursachen	https://framenet-constructicon.hhu.de/framenet/frame?id=1080	ps
